# Total Phase Data Center(tm) v7.01
# (c) 2005-2021 Total Phase, Inc.
# www.totalphase.com
#
# 
#
# Level,Index,m:s.ms.us,Dur,Len,Err,S/P,Addr,Record,Data
0,280,0:06.238.518,325.400 us,11 B,,SP,4B,Read Transaction,01 30 91 66 04 35 0C 6B 00 00 00*
0,281,0:06.254.830,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,282,0:06.254.901,49.700 us,1 B,,SP,4B,Read Transaction,01*
0,283,0:06.254.952,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,284,0:06.255.024,325.400 us,11 B,,SP,4B,Read Transaction,01 30 91 71 04 23 0C 6B 00 00 00*
0,285,0:06.271.314,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,286,0:06.271.386,49.700 us,1 B,,SP,4B,Read Transaction,01*
0,287,0:06.271.437,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,288,0:06.271.508,325.300 us,11 B,,SP,4B,Read Transaction,01 30 91 7E 04 0F 0C 6B 00 00 00*
0,289,0:06.287.788,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,290,0:06.287.859,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,291,0:06.287.910,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,292,0:06.287.982,325.400 us,11 B,,SP,4B,Read Transaction,01 30 91 8D 04 FC 0B 6B 00 00 00*
0,293,0:06.304.254,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,294,0:06.304.326,49.700 us,1 B,,SP,4B,Read Transaction,01*
0,295,0:06.304.377,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,296,0:06.304.448,325.600 us,11 B,,SP,4B,Read Transaction,01 30 91 9C 04 E9 0B 6B 00 00 00*
